#id,NAME,pNAME,PSRJ,pPSRJ,RAJ,eRAJ,pRAJ,DECJ,eDECJ,pDECJ,PMRA,ePMRA,pPMRA,PMDEC,ePMDEC,pPMDEC,PX,ePX,pPX,POSEPOCH,pPOSEPOCH,RAJD,DECJD,P0,eP0,pP0,P1,eP1,pP1,F0,eF0,pF0,F1,eF1,pF1,F2,eF2,pF3,F3,eF3,pF3,PEPOCH,pPEPOCH,DM,eDM,pDM,DM1,eDM1,pDM1,W50,eW50,pW50,W10,eW10,pW10,S400,eS400,pS400,S1400,eS1400,pS1400,DMEPOCH,pDMEPOCH,BINARY,pBINARY,DIST,DIST_DM,pDIST_DM
#,,,,,(hms),,,(dms),,,(mas/yr),,,(mas/yr),,,(mas),,,(MJD),,(deg),(deg),(s),,,,,,(Hz),,,(s^-2),,,(s^-3),,,(s^-4),,,(MJD),,(cm^-3pc),,,(cm^-3pc/yr),,,(ms),,,(ms),,,(mJy),,,(mJy),,,(MJD),,(type),,(kpc),(kpc),
12,B1929+10,lvw68,J1932+1059,lvw68,19:32:13.9497,0.0003,ccv+04,+10:59:32.420,0.005,ccv+04,94.09,0.11,ccv+04,42.99,0.16,ccv+04,2.77,0.07,ccv+04,51544,ccv+04,293.05812,10.99234,0.226517635038,5E-12,hlk+04,1.157426E-15,1.6E-20,hlk+04,4.41466731644,8E-11,hlk+04,-2.25574E-14,3E-19,hlk+04,1.5E-26,3E-27,hlk+04,*,0,*,46523,hlk+04,3.18321,0.00016,bkk+16,*,0,*,7.4,0,hfs+04,14,0,hfs+04,303,76,lylg95,36,4,hfs+04,56781,bkk+16,*,*,0.31,0.23,ymw17
13,B0740-28,fss73,J0742-2822,fss73,07:42:49.058,0.002,hlk+04,-28:22:43.76,0.04,hlk+04,-29,2,fgml97,4,2,fgml97,*,0,*,49326,hlk+04,115.70441,-28.37882,0.166762291572,2E-11,hlk+04,1.682112E-14,1.4E-19,hlk+04,5.9965594774,7E-10,hlk+04,-6.04866E-13,5E-18,hlk+04,-1.32E-24,8E-26,hlk+04,*,0,*,49326,hlk+04,73.728,0.001,pkj+13,*,0,*,5.4,0,hfs+04,8.3,0,hfs+04,296,14,lylg95,15,1.5,hfs+04,55000,pkj+13,*,*,2,25,ymw16
14,B1133+16,phbc68,J1136+1551,phbc68,11:36:03.2477,0.0018,hlk+04,+15:51:04.48,0.05,hlk+04,-74,0.4,bbgt02,368.1,0.3,bbgt02,2.8,0.16,bbgt02,46407,hlk+04,174.01353,15.85124,1.187913065936,3E-12,hlk+04,3.733837E-15,9E-21,hlk+04,0.8418124429095,1.8E-12,hlk+04,-2.645977E-15,6E-21,hlk+04,8.7E-28,5E-29,hlk+04,*,0,*,46407,hlk+04,4.84066,0.00034,bkk+16,*,0,*,31.7,0,lylg95,41.8,0,lylg95,257,53,lylg95,32,5,lylg95,56687,bkk+16,*,*,0.35,0.41,ymw17
15,B1933+16,dl70,J1935+1616,dl70,19:35:47.8259,0.0001,cbv+09,+16:16:39.986,0.002,cbv+09,1.13,0.13,cbv+09,-16.09,0.15,cbv+09,0.22,0.12,cbv+09,52275,cbv+09,293.94927,16.27777,0.3587384107696,6E-13,hlk+04,6.0025237E-15,1.5E-21,hlk+04,2.787546496219,4E-12,hlk+04,-4.6642103E-14,1.1E-20,hlk+04,1.449E-26,1.1E-28,hlk+04,*,0,*,46434,hlk+04,158.521,0.003,hlk+04,*,0,*,9,0,lylg95,17.7,0,lylg95,242,22,lylg95,42,6,lylg95,46434,*,*,*,3.7,4.31,ymw17
16,B1937+21,bkh+82,J1939+2134,bkh+82,19:39:38.561224,2E-06,dcl+16,+21:34:59.12570,4E-05,dcl+16,0.07,0.004,dcl+16,-0.401,0.005,dcl+16,0.22,0.08,dcl+16,55000,*,294.91067,21.58309,0.001557806561085,5E-17,dcl+16,1.051065E-19,3E-25,dcl+16,641.92822458236,3E-11,dcl+16,-4.331143E-14,1.3E-19,dcl+16,*,0,*,*,0,*,55000,dcl+16,71.0237,0.0013,dcl+16,-0.00059,3E-05,rhc+16,0.0382,0.0001,mhb+13,0.19,0,sc83,240,0,ffb91,13.2,5,mhb+13,55000,*,*,*,3.5,2.9,ymw17
17,B1449-64,lvw69a,J1453-6413,lvw69a,14:53:32.737,0.01,smd93,-64:13:15.59,0.08,smd93,-16,1,bmk+90b,-21.3,0.8,bmk+90b,*,0,*,46917,smd93,223.3864,-64.221,0.1794847539641,1.1E-12,smd93,2.7461E-15,7E-20,smd93,5.57150386266,4E-11,smd93,-8.5243E-14,3E-18,smd93,*,0,*,*,0,*,46800,smd93,71.248,0.002,pkj+13,*,0,*,4.4,0,hfs+04,9.7,0,hfs+04,230,0,tml93,14,1.4,hfs+04,55000,pkj+13,*,*,2.8,25,ymw16
18,B2111+46,dl70,J2113+4644,dl70,21:13:24.328,0.004,lwy+16,+46:44:08.82,0.05,lwy+16,-4,13,lwy+16,9,14,lwy+16,*,0,*,53915,lwy+16,318.35137,46.73578,1.014684793189,5E-12,hlk+04,7.14612E-16,1.2E-20,hlk+04,0.985527729116,4E-12,hlk+04,-6.94078E-16,1.1E-20,hlk+04,1.853E-26,1.1E-28,hlk+04,*,0,*,46614,hlk+04,141.26,0.09,hlk+04,*,0,*,32.1,0,lylg95,152.8,0,lylg95,230,11,lylg95,19,1,lylg95,46614,*,*,*,4,4.12,ymw17
19,B0628-28,lvw69a,J0630-2834,lvw69a,06:30:49.404393,4.3E-05,dtbr09,-28:34:42.77881,0.00037,dtbr09,-46.3,0.99,dtbr09,21.26,0.52,dtbr09,3.01,0.41,dtbr09,54100,dtbr09,97.70585,-28.57855,1.24441859615,8E-11,hlk+04,7.1229E-15,3E-19,hlk+04,0.80358811986,5E-11,hlk+04,-4.59962E-15,1.3E-19,hlk+04,-1.18E-26,1.5E-27,hlk+04,*,0,*,46603,hlk+04,34.425,0.001,srb+15,*,0,*,58.2,0,lylg95,119.7,0,lylg95,206,22,lylg95,23,6,lylg95,56706,srb+15,*,*,0.32,2.07,ymw17
20,B0835-41,lvw68,J0837-4135,lvw68,08:37:21.1818,0.0017,zhw+05,-41:35:14.37,0.02,zhw+05,-2.3,1.8,bfg+03,-18,3,bfg+03,*,0,*,52340,zhw+05,129.33826,-41.58732,0.751623617646,8E-12,wmz+01,3.5393E-15,1.2E-18,wmz+01,1.330453137079,1.5E-11,wmz+01,-6.265E-15,3E-18,wmz+01,*,0,*,*,0,*,51700,wmz+01,147.29,0.07,hfs+04,*,0,*,8.9,0,hfs+04,18,0,hfs+04,197,0,tml93,16,1.6,hfs+04,51700,*,*,*,1.5,1.43,ymw17
21,B0736-40,lvw68,J0738-4042,lvw68,07:38:32.329,0.01,bfg+03,-40:42:40.94,0.1,bfg+03,-14,1.2,bfg+03,13,2,bfg+03,*,0,*,51360,bfg+03,114.6347,-40.71137,0.374919985032,6E-12,wmz+01,1.6161E-15,9E-19,wmz+01,2.66723578343,5E-11,wmz+01,-1.1497E-14,7E-18,wmz+01,*,0,*,*,0,*,51700,wmz+01,160.896,0.003,pkj+13,*,0,*,29,0,mhma78,52,0,mhma78,190,0,mlt+78,83.7,0.1,hwxh16,55000,pkj+13,*,*,1.6,25,ymw16
