#id,NAME,pNAME,PSRJ,pPSRJ,RAJ,eRAJ,pRAJ,DECJ,eDECJ,pDECJ,PMRA,ePMRA,pPMRA,PMDEC,ePMDEC,pPMDEC,PX,ePX,pPX,POSEPOCH,pPOSEPOCH,RAJD,DECJD,P0,eP0,pP0,P1,eP1,pP1,F0,eF0,pF0,F1,eF1,pF1,F2,eF2,pF3,F3,eF3,pF3,PEPOCH,pPEPOCH,DM,eDM,pDM,DM1,eDM1,pDM1,W50,eW50,pW50,W10,eW10,pW10,S400,eS400,pS400,S1400,eS1400,pS1400,DMEPOCH,pDMEPOCH,BINARY,pBINARY,DIST,DIST_DM,pDIST_DM
#,,,,,(hms),,,(dms),,,(mas/yr),,,(mas/yr),,,(mas),,,(MJD),,(deg),(deg),(s),,,,,,(Hz),,,(s^-2),,,(s^-3),,,(s^-4),,,(MJD),,(cm^-3pc),,,(cm^-3pc/yr),,,(ms),,,(ms),,,(mJy),,,(mJy),,,(MJD),,(type),,(kpc),(kpc),
119,J0053+69,slr+14,J0053+69,slr+14,00:53,3,slr+14,+69:39,18,slr+14,*,0,*,*,0,*,*,0,*,56292,*,13.25,69.65,0.832938,2.8E-05,slr+14,*,0,*,1.20057,5E-05,slr+14,*,0,*,*,0,*,*,0,*,56292,*,117,2,slr+14,*,0,*,*,0,*,*,0,*,30.5,0,slr+14,*,0,*,56292,*,*,*,2.75,2.75,ymw17
120,B0820+02,mlt+78,J0823+0159,mlt+78,08:23:09.768,0.002,hlk+04,+01:59:12.41,0.09,hlk+04,5,11,hla93,-1,8,hla93,*,0,*,49281,hlk+04,125.7907,1.98678,0.8648728046988,9E-13,hlk+04,1.0455E-16,6E-21,hlk+04,1.1562393852218,1.1E-12,hlk+04,-1.39772E-16,8E-21,hlk+04,-7.9E-28,1.3E-28,hlk+04,*,0,*,49281,hlk+04,23.727,0.006,hlk+04,*,0,*,21.2,0,lylg95,34.8,0,lylg95,30,5,lylg95,1.5,0.7,lylg95,49281,*,BT,hlk+04,0.81,0.81,ymw17
121,J1012+5307,nll+95,J1012+5307,nll+95,10:12:33.437521,5E-06,dcl+16,+53:07:02.29999,6E-05,dcl+16,2.609,0.008,dcl+16,-25.482,0.011,dcl+16,0.71,0.17,dcl+16,55000,dcl+16,153.13932,53.11731,0.005255749014115,1.4E-17,lwj+09,1.712794E-20,9E-26,lwj+09,190.267837622058,5E-13,lwj+09,-6.20063E-16,3E-21,lwj+09,*,0,*,*,0,*,55000,dcl+16,9.02314,7E-05,lwj+09,*,0,*,0.69,0,kxl+98,*,0,*,30,0,nll+95,3.2,0,lmj+16,55000,*,ELL1,dcl+16,0.7,0.8,ymw17
122,B1601-52,kac+73,J1605-5257,kac+73,16:05:16.3,0.2,nmc81,-52:57:34,3,nmc81,*,0,*,*,0,*,*,0,*,43556.87,*,241.31792,-52.95944,0.6580131007,5E-10,nmc81,2.56E-16,1.9E-17,nmc81,1.5197265813,1.2E-09,nmc81,-5.9E-16,5E-17,nmc81,*,0,*,*,0,*,43556.872,nmc81,35.1,0.3,hfs+04,*,0,*,59,0,hfs+04,79,0,hfs+04,30,0,tml93,13,1.3,hfs+04,43556.87,*,*,*,0.92,0.92,ymw17
123,J1835-1106,mld+96,J1835-1106,mld+96,18:35:18.287,0.002,dsb+98,-11:06:15.1,0.2,dsb+98,27,46,zhw+05,56,190,zhw+05,*,0,*,49445.7,*,278.8262,-11.10419,0.1659069781495,2E-13,dsb+98,2.0610608E-14,8E-21,dsb+98,6.027474016788,8E-12,dsb+98,-7.487925E-13,3E-19,dsb+98,*,0,*,*,0,*,49445.7,dsb+98,132.679,0.003,dsb+98,*,0,*,4.7,0,hfs+04,9.4,0,hfs+04,30,0,mld+96,2.2,0.2,hfs+04,49445.7,*,*,*,3.16,3.16,ymw17
124,B1920+21,dls73,J1922+2110,dls73,19:22:53.531,0.0059,hlk+04,+21:10:41.97,0.14,hlk+04,*,0,*,*,0,*,*,0,*,49879,hlk+04,290.72305,21.17832,1.07792434298,5E-11,hlk+04,8.1803E-15,5E-19,hlk+04,0.92770889396,4E-11,hlk+04,-7.0403E-15,4E-19,hlk+04,1.3E-26,8E-27,hlk+04,*,0,*,49879,hlk+04,217.086,0.018,hlk+04,*,0,*,14.8,0,lylg95,32.7,0,lylg95,30,1,lylg95,1.4,0.2,lylg95,49879,*,*,*,4,7.03,ymw17
125,B0540+23,dls72,J0543+2329,dls72,05:43:09.660,0.011,hlk+04,+23:29:05,5,hlk+04,19,7,hla93,12,8,hla93,*,0,*,48892,hlk+04,85.79025,23.48472,0.2459747688901,1.9E-12,hlk+04,1.5422691E-14,1.9E-20,hlk+04,4.06545762605,3E-11,hlk+04,-2.549054E-13,3E-19,hlk+04,2.42E-25,3E-27,hlk+04,*,0,*,48892,hlk+04,77.7026,0.001,bkk+16,*,0,*,6.2,0,lylg95,18.9,0,lylg95,29,1,lylg95,9,1,lylg95,56779,bkk+16,*,*,1.56,1.56,ymw17
126,B0611+22,dls72,J0614+2229,dls72,06:14:17.16,0.03,hlk+04,+22:30:36,17,hlk+04,-4,5,hla93,-3,7,hla93,*,0,*,49674,hlk+04,93.5715,22.51,0.33495996611,1.6E-10,hlk+04,5.94494E-14,1.2E-18,hlk+04,2.9854313983,1.4E-09,hlk+04,-5.29861E-13,1E-17,hlk+04,6.68E-24,2E-25,hlk+04,*,0,*,49674,hlk+04,96.91,0.04,pkj+13,*,0,*,6.9,0,lylg95,13.8,0,lylg95,29,1,lylg95,2.2,0.1,lylg95,55000,pkj+13,*,*,25,25,ymw16
127,B0953-52,mlt+78,J0955-5304,mlt+78,09:55:29.50,0.01,nmc81,-53:04:16.7,0.2,nmc81,*,0,*,*,0,*,*,0,*,43555.52,*,148.87292,-53.07131,0.86211773933,5E-11,nmc81,3.517E-15,3E-18,nmc81,1.15993437367,7E-11,nmc81,-4.732E-15,5E-18,nmc81,*,0,*,*,0,*,43555.5182,nmc81,156.9,0.2,nmc81,*,0,*,7.8,0,hfs+04,33,0,hfs+04,29,0,tml93,0.94,0.1,hfs+04,43555.52,*,*,*,0.4,0.4,ymw17
128,J1246+2253,tdk+93,J1246+2253,tdk+93,12:46:49.363,0.005,bfrs18,+22:53:43.27,0.08,bfrs18,*,0,*,*,0,*,*,0,*,53400,*,191.70568,22.89535,0.473870557518,4E-12,bfrs18,8.8892E-17,9E-21,bfrs18,2.110280928271,1.4E-11,bfrs18,-3.9586E-16,4E-20,bfrs18,*,0,*,*,0,*,53400,bfrs18,17.792,0.003,bfrs18,*,0,*,9.7,0,bfrs18,*,0,*,29,0,tdk+93,0.39,0.03,bfrs18,56747,bkk+16,*,*,2.47,2.47,ymw17
129,B1302-64,mlt+78,J1305-6455,mlt+78,13:05:23.7,0.3,nmc81,-64:55:26.3,1.8,nmc81,*,0,*,*,0,*,*,0,*,43555.7,*,196.34875,-64.92397,0.5716469444,4E-10,nmc81,4.032E-15,1.7E-17,nmc81,1.7493314882,1.3E-09,nmc81,-1.234E-14,6E-17,nmc81,*,0,*,*,0,*,43555.6989,nmc81,505,0.3,hfs+04,*,0,*,19,0,hfs+04,50,0,hfs+04,29,0,tml93,1.6,0.17,hfs+04,43555.7,*,*,*,11.9,11.9,ymw17
130,B1702-19,mlt+78,J1705-1906,mlt+78,17:05:36.099,0.003,hlk+04,-19:06:38.6,0.39,hlk+04,*,0,*,*,0,*,*,0,*,48733,hlk+04,256.40042,-19.11073,0.2989874273426,1.7E-12,hlk+04,4.137877E-15,1E-20,hlk+04,3.344622243443,1.8E-11,hlk+04,-4.628835E-14,1.1E-19,hlk+04,3.34E-26,1.5E-27,hlk+04,*,0,*,48733,hlk+04,22.907,0.003,hlk+04,*,0,*,7.3,0,lylg95,14.7,0,lylg95,29,3,lylg95,8,3,lylg95,48733,*,*,*,0.75,0.75,ymw17
131,B1738-08,mlt+78,J1741-0840,mlt+78,17:41:22.555,0.017,hlk+04,-08:40:31.8,1.1,hlk+04,*,0,*,*,0,*,*,0,*,48714,hlk+04,265.34398,-8.67551,2.043082458401,6E-12,hlk+04,2.27471E-15,5E-20,hlk+04,0.4894565052369,1.3E-12,hlk+04,-5.44946E-16,1E-20,hlk+04,4.4E-29,1.1E-28,hlk+04,*,0,*,48714,hlk+04,74.9,0.05,hlk+04,*,0,*,77.6,0,antt94,114.4,0,antt94,29,8,lylg95,1.4,0.4,lylg95,48714,*,*,*,0.22,0.22,ymw17
132,J1750-3503,mld+96,J1750-3503,mld+96,17:50:44.501,0.006,dsb+98,-35:03:08.9,0.5,dsb+98,*,0,*,*,0,*,*,0,*,48735,*,267.68542,-35.05247,0.68401360292,3E-11,dsb+98,3.81E-17,4E-19,dsb+98,1.46195922966,7E-11,dsb+98,-8.14E-17,9E-19,dsb+98,*,0,*,*,0,*,48735,dsb+98,189.35,0.02,dsb+98,*,0,*,67,0,hfs+04,185,20,dsb+98,29,0,mld+96,0.79,0.09,hfs+04,48735,*,*,*,5.86,5.86,ymw17
133,B1929+20,ht74,J1932+2020,ht74,19:32:08.023,0.0027,hlk+04,+20:20:46.41,0.053,hlk+04,*,0,*,*,0,*,*,0,*,49887,hlk+04,293.03343,20.34623,0.268217402985,6E-12,hlk+04,4.21706E-15,4E-20,hlk+04,3.72831885206,7E-11,hlk+04,-5.86187E-14,5E-19,hlk+04,-1.57E-25,1.2E-26,hlk+04,*,0,*,49887,hlk+04,211.151,0.011,hlk+04,*,0,*,18.4,0,lylg95,40,0,lylg95,29,2,lylg95,1.2,0.4,lylg95,49887,*,*,*,5,4.96,ymw17
134,B2048-72,mlt+78,J2053-7200,mlt+78,20:53:47.14,0.06,dmk+93,-72:00:42.2,0.2,dmk+93,*,0,*,*,0,*,*,0,*,47687.74,*,313.44642,-72.01172,0.341336231373,4E-12,dmk+93,1.957E-16,2E-19,dmk+93,2.92966262614,4E-11,dmk+93,-1.6797E-15,1.8E-18,dmk+93,*,0,*,*,0,*,47687.735,dmk+93,17.3,0.4,dmk+93,*,0,*,28,0,qmlg95,45,0,qmlg95,29,0,tml93,6,0,qmlg95,47687.74,*,*,*,1.03,1.03,ymw17
135,B0136+57,dth78,J0139+5814,dth78,01:39:19.7401,0.0012,cbv+09,+58:14:31.819,0.017,cbv+09,-19.11,0.07,cbv+09,-16.6,0.07,cbv+09,0.37,0.04,cbv+09,52275,cbv+09,24.83225,58.24217,0.27245063095,1.5E-11,hlk+04,1.071167E-14,1.2E-19,hlk+04,3.67038973818,2E-10,hlk+04,-1.443051E-13,1.5E-18,hlk+04,1.6E-26,2.5E-26,hlk+04,*,0,*,49289,hlk+04,73.81141,0.00076,bkk+16,*,0,*,5.2,0,lylg95,9.6,0,lylg95,28,2,lylg95,4.6,0.4,lylg95,56753,bkk+16,*,*,2.6,2.01,ymw17
136,B0906-49,dmd+88,J0908-4913,dmd+88,09:08:35.53,0.1,dmd+88,-49:13:06.5,0.9,dmd+88,*,0,*,*,0,*,*,0,*,46546.28,*,137.14804,-49.21847,0.1067545925,3E-11,dmd+88,1.5151E-14,2E-18,dmd+88,9.367278508,3E-09,dmd+88,-1.32944E-12,1.8E-16,dmd+88,*,0,*,*,0,*,46546.2841,dmd+88,180.37,0.05,pkj+13,-0.038,0.004,pkj+13,2.8,0,hfs+04,56,0,qmlg95,28,3,lml+98,10,1,hfs+04,55000,*,*,*,1,25,ymw16
137,B1039-19,mlt+78,J1041-1942,mlt+78,10:41:36.196,0.005,hlk+04,-19:42:13.61,0.11,hlk+04,-1,3,bfg+03,14,5,bfg+03,*,0,*,48738,hlk+04,160.40082,-19.70378,1.386368074588,3E-12,hlk+04,9.4485E-16,2E-20,hlk+04,0.7213091662526,1.2E-12,hlk+04,-4.91593E-16,1E-20,hlk+04,6.6E-29,1E-28,hlk+04,*,0,*,48738,hlk+04,33.777,0.01,hlk+04,*,0,*,61.8,0,lylg95,72.9,0,lylg95,28,6,lylg95,4,1,lylg95,48738,*,*,*,2.53,2.53,ymw17
138,B1322-66,mlt+78,J1326-6700,mlt+78,13:26:03.2,0.4,nmc81,-67:00:51,3,nmc81,*,0,*,*,0,*,*,0,*,43555.71,*,201.51333,-67.01417,0.5430085792,5E-10,nmc81,5.31E-15,2E-17,nmc81,1.8415915297,1.7E-09,nmc81,-1.801E-14,7E-17,nmc81,*,0,*,*,0,*,43555.7073,nmc81,209.6,0.3,hfs+04,*,0,*,42,0,hfs+04,56,0,hfs+04,28,0,tml93,11,1.1,hfs+04,43555.71,*,*,*,6.74,6.74,ymw17
139,J1808-0813,mld+96,J1808-0813,mld+96,18:08:09.432,0.0094,hlk+04,-08:13:01.8,0.68,hlk+04,*,0,*,*,0,*,*,0,*,50862,hlk+04,272.0393,-8.21717,0.876044286677,6E-12,hlk+04,1.2402E-15,6E-20,hlk+04,1.141494802498,7E-12,hlk+04,-1.61599E-15,7E-20,hlk+04,2E-27,2.3E-27,hlk+04,*,0,*,50862,hlk+04,151.27,0.06,hlk+04,*,0,*,24,0,hfs+04,40,0,hfs+04,28,0,mld+96,1.8,0.19,hfs+04,50862,*,*,*,3.97,3.97,ymw17
140,B2053+36,dbtb82,J2055+3630,dbtb82,20:55:31.3521,0.0001,cbv+09,+36:30:21.469,0.002,cbv+09,1.04,0.04,cbv+09,-2.46,0.13,cbv+09,0.17,0.03,cbv+09,52275,cbv+09,313.88063,36.50596,0.221507638277,3E-13,hlk+04,3.691271E-16,2E-21,hlk+04,4.514517006178,5E-12,hlk+04,-7.52313E-15,4E-20,hlk+04,-1.07E-26,7E-28,hlk+04,*,0,*,49361,hlk+04,97.4155,0.0056,bkk+16,*,0,*,7.2,0,lylg95,16.9,0,lylg95,28,1,lylg95,2.6,0.1,lylg95,56788,bkk+16,*,*,5,5.24,ymw17
141,B0301+19,fss73,J0304+1932,fss73,03:04:33.115,0.016,hlk+04,+19:32:51.4,0.8,hlk+04,6,7,las82,-37,4,las82,*,0,*,49289,hlk+04,46.13798,19.54761,1.387584446262,3E-12,hlk+04,1.295235E-15,2E-20,hlk+04,0.7206768587625,1.4E-12,hlk+04,-6.72713E-16,1E-20,hlk+04,-2.45E-27,1.7E-28,hlk+04,*,0,*,49289,hlk+04,15.65677,0.00035,bkk+16,*,0,*,58.4,0,lylg95,73.4,0,lylg95,27,3,lylg95,3,1,lylg95,56703,bkk+16,*,*,0.74,0.74,ymw17
142,B1907-03,mlt+78,J1910-0309,mlt+78,19:10:29.678,0.0072,hlk+04,-03:09:54.1,0.29,hlk+04,*,0,*,*,0,*,*,0,*,49985,hlk+04,287.62366,-3.16502,0.504604607817,1.3E-11,hlk+04,2.18734E-15,8E-20,hlk+04,1.98174964023,5E-11,hlk+04,-8.5904E-15,3E-19,hlk+04,-1.3E-25,8E-27,hlk+04,*,0,*,49985,hlk+04,205.53,0.03,hlk+04,*,0,*,7.6,0,hfs+04,30.4,0,lylg95,27,3,lylg95,0.55,0.07,hfs+04,49985,*,*,*,14.44,14.44,ymw17
143,J2352+65,hrk+08,J2352+65,hrk+08,23:52,0,hrk+08,65,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,358,65,1.164,0,hrk+08,*,0,*,0.859107,0,hrk+08,*,0,*,*,0,*,*,0,*,54100,*,152,0,hrk+08,*,0,*,*,0,*,*,0,*,26.5,0,slr+14,*,0,*,54100,*,*,*,3.05,3.05,ymw17
144,J0325+67,slr+14,J0325+67,slr+14,03:26,3,slr+14,+67:49,18,slr+14,*,0,*,*,0,*,*,0,*,56292,*,51.5,67.81667,1.364741,6.2E-05,slr+14,*,0,*,0.73274,4E-05,slr+14,*,0,*,*,0,*,*,0,*,56292,*,65,2,slr+14,*,0,*,*,0,*,*,0,*,26.3,0,slr+14,*,0,*,56292,*,*,*,1.93,1.93,ymw17
145,B0942-13,mlt+78,J0944-1354,mlt+78,09:44:28.9559,0.0011,hlk+04,-13:54:41.63,0.03,hlk+04,-1,32,hla93,-22,14,hla93,*,0,*,49337,hlk+04,146.12065,-13.91156,0.5702641245619,4E-13,hlk+04,4.5256E-17,3E-21,hlk+04,1.7535734003402,1E-12,hlk+04,-1.39163E-16,7E-21,hlk+04,-2.3E-28,1.3E-28,hlk+04,*,0,*,49337,hlk+04,12.497,0.003,hlk+04,*,0,*,6.9,0,lylg95,11,0,lylg95,26,4,lylg95,0.6,0.2,lylg95,49337,*,*,*,0.69,0.69,ymw17
146,B1114-41,mlt+78,J1116-4122,mlt+78,11:16:43.086,0.01,bfg+03,-41:22:43.96,0.1,bfg+03,-1,5,bfg+03,7,20,bfg+03,*,0,*,51360,bfg+03,169.17953,-41.37888,0.943157882843,7E-12,antt94,7.9536E-15,4E-19,antt94,1.060267870514,8E-12,antt94,-8.9412E-15,5E-19,antt94,*,0,*,*,0,*,48383,antt94,40.53,0.03,antt94,*,0,*,14,0,qmlg95,24,0,qmlg95,26,0,tml93,3,0,wmlq93,48383,*,*,*,0.28,0.28,ymw17
147,B1846-06,dls72,J1849-0636,dls72,18:49:06.435,0.0041,hlk+04,-06:37:06.9,0.22,hlk+04,*,0,*,*,0,*,*,0,*,48736,hlk+04,282.27682,-6.61859,1.451319471078,1.1E-11,hlk+04,4.623982E-14,1.1E-19,hlk+04,0.689028170522,5E-12,hlk+04,-2.195281E-14,5E-20,hlk+04,-1.4E-26,6E-28,hlk+04,*,0,*,48736,hlk+04,148.168,0.012,hlk+04,*,0,*,89,0,hfs+04,*,0,*,26,1,lylg95,1.4,0.15,hfs+04,48736,*,*,*,3.85,3.85,ymw17
148,B1953+50,dth78,J1955+5059,dth78,19:55:18.7637,0.0013,hlk+04,+50:59:55.292,0.013,hlk+04,-23,5,hla93,54,5,hla93,*,0,*,48741,hlk+04,298.82818,50.99869,0.5189379874091,5E-13,hlk+04,1.372366E-15,4E-21,hlk+04,1.9270125222336,1.8E-12,hlk+04,-5.096111E-15,1.3E-20,hlk+04,-9.82E-27,1.8E-28,hlk+04,*,0,*,48741,hlk+04,31.98266,0.00013,bkk+16,*,0,*,6,0,lylg95,13.2,0,lylg95,26,3,lylg95,4,1,lylg95,56789,bkk+16,*,*,2.19,2.19,ymw17
149,B2011+38,stwd85,J2013+3845,stwd85,20:13:10.367,0.003,hlk+04,+38:45:43.31,0.04,hlk+04,-32.1,1.7,bfg+03,-25,2,bfg+03,*,0,*,49718,hlk+04,303.2932,38.76203,0.2301936138595,1E-12,hlk+04,8.851045E-15,8E-21,hlk+04,4.344169168005,1.8E-11,hlk+04,-1.670352E-13,1.4E-19,hlk+04,2.6E-26,3E-27,hlk+04,*,0,*,49718,hlk+04,238.217,0.008,hlk+04,*,0,*,22.7,0,lylg95,40,0,lylg95,26,1,lylg95,6.4,0.5,lylg95,49718,*,*,*,7.13,7.13,ymw17
150,B2106+44,dls73,J2108+4441,dls73,21:08:20.482,0.006,hlk+04,+44:41:48.87,0.06,hlk+04,3.5,1.3,bfg+03,1.4,1.4,bfg+03,*,0,*,48736,hlk+04,317.08534,44.69691,0.4148705368737,6E-13,hlk+04,8.621E-17,6E-21,hlk+04,2.410390498047,3E-12,hlk+04,-5.0088E-16,3E-20,hlk+04,6.1E-28,2.2E-28,hlk+04,*,0,*,48736,hlk+04,139.827,0.011,hlk+04,*,0,*,27.2,0,lylg95,102,0,lylg95,26,2,lylg95,5.4,0.4,lylg95,48736,*,*,*,4.35,4.35,ymw17
151,B1706-44,jlm+92,J1709-4429,jlm+92,17:09:42.728,0.002,wmp+00,-44:29:08.24,0.06,wmp+00,*,0,*,*,0,*,*,0,*,50042,wmp+00,257.42803,-44.48562,0.102459245929,8E-12,wmp+00,9.298454E-14,1.3E-19,wmp+00,9.759978135,7E-10,wmp+00,-8.857444E-12,1.2E-17,wmp+00,1.731E-22,7E-25,wmp+00,*,0,*,50042,wmp+00,75.68,0.03,pkj+13,*,0,*,6,0,hfs+04,13,0,hfs+04,25,4,lml+98,7.3,0.7,hfs+04,55000,pkj+13,*,*,2.6,25,ymw16
152,B1719-37,mlt+78,J1722-3712,mlt+78,17:22:59.17,0.04,antt94,-37:12:03.7,0.6,antt94,*,0,*,*,0,*,*,0,*,48381,*,260.74654,-37.20103,0.236173191636,4E-12,antt94,1.08545E-14,3E-19,antt94,4.23418082752,8E-11,antt94,-1.94603E-13,6E-18,antt94,*,0,*,*,0,*,48381,antt94,99.49,0.03,pkj+13,*,0,*,4,0,hfs+04,9,0,hfs+04,25,0,tml93,3.2,0.3,hfs+04,55000,pkj+13,*,*,25,25,ymw16
153,B1730-22,dls73,J1733-2228,dls73,17:33:26.43,0.037,hlk+04,-22:28:37,11,hlk+04,*,0,*,*,0,*,*,0,*,48712,hlk+04,263.36016,-22.47701,0.871682832986,3E-12,hlk+04,4.2703E-17,1E-20,hlk+04,1.147206256861,3E-12,hlk+04,-5.6201E-17,1.3E-20,hlk+04,-2.2E-28,1.7E-28,hlk+04,*,0,*,48712,hlk+04,41.14,0.03,hlk+04,*,0,*,60,0,hfs+04,84.3,0,lylg95,25,3,lylg95,2.3,0.2,hfs+04,48712,*,*,*,1.1,1.1,ymw17
154,B1804-27,mlt+78,J1807-2715,mlt+78,18:07:08.495,0.0082,hlk+04,-27:15:03.0,1.4,hlk+04,*,0,*,*,0,*,*,0,*,49891,hlk+04,271.7854,-27.25082,0.827776461518,9E-12,hlk+04,1.217251E-14,7E-20,hlk+04,1.208055612219,1.3E-11,hlk+04,-1.776454E-14,1E-19,hlk+04,-8.2E-26,3E-27,hlk+04,*,0,*,49891,hlk+04,312.98,0.03,hlk+04,*,0,*,14,0,hfs+04,30.6,0,lylg95,25,0,al81,0.91,0.1,hfs+04,49891,*,*,*,15.38,15.38,ymw17
155,B1819-22,dls72,J1822-2256,dls72,18:22:58.95,0.084,hlk+04,-22:56:31,29,hlk+04,*,0,*,*,0,*,*,0,*,48740,hlk+04,275.74564,-22.94184,1.874268518252,6E-12,hlk+04,1.35439E-15,4E-20,hlk+04,0.5335414804559,1.7E-12,hlk+04,-3.8555E-16,1.1E-20,hlk+04,5.8E-28,1.4E-28,hlk+04,*,0,*,48740,hlk+04,121.2,0.04,hlk+04,*,0,*,46,0,hfs+04,81,0,hfs+04,25,2,lylg95,2.4,0.3,hfs+04,48740,*,*,*,3.26,3.26,ymw17
156,B1737-30,cl86,J1740-3015,cl86,17:40:33.82,0.01,fgml97,-30:15:43.5,0.2,fgml97,*,0,*,*,0,*,*,0,*,54780,*,265.14092,-30.26208,0.60688662425,4E-11,ywml10,4.66124E-13,1.2E-17,ywml10,1.6477542263,1E-10,ywml10,-1.26557E-12,3E-17,ywml10,*,0,*,*,0,*,54780,ywml10,151.96,0.01,pkj+13,*,0,*,5.2,0,hfs+04,12,0,hfs+04,24.6,0,lylg95,6.4,0.7,hfs+04,55000,pkj+13,*,*,0.4,25,ymw16
157,B1119-54,mlt+78,J1121-5444,mlt+78,11:21:19.189,0.014,nmc81,-54:44:05.5,0.2,nmc81,*,0,*,*,0,*,*,0,*,43556.75,*,170.32995,-54.73486,0.53578313115,3E-11,nmc81,2.7669E-15,1.2E-18,nmc81,1.8664268094,1.1E-10,nmc81,-9.639E-15,5E-18,nmc81,*,0,*,*,0,*,43556.7459,nmc81,204.7,0.6,nmc81,*,0,*,21,0,hfs+04,27,0,hfs+04,24,0,tml93,1.3,0.14,hfs+04,43556.75,*,*,*,2.32,2.32,ymw17
158,J1418-3921,mld+96,J1418-3921,mld+96,14:18:50.283,0.005,dsb+98,-39:21:18.51,0.1,dsb+98,*,0,*,*,0,*,*,0,*,49014,*,214.70951,-39.35514,1.0968060034,2E-11,dsb+98,8.892E-16,3E-19,dsb+98,0.911738262646,1.7E-11,dsb+98,-7.392E-16,3E-19,dsb+98,*,0,*,*,0,*,49014,dsb+98,60.49,0.01,dsb+98,*,0,*,25,3,dsb+98,53,4,dsb+98,24,0,mld+96,1.4,0,lor94,49014,*,*,*,4.08,4.08,ymw17
159,B1620-42,mlt+78,J1623-4256,mlt+78,16:23:48.34,0.02,nmc81,-42:56:52,6,nmc81,*,0,*,*,0,*,*,0,*,43556.89,*,245.95142,-42.94778,0.3645903553,4E-10,nmc81,1.022E-15,1.4E-17,nmc81,2.742804316,4E-09,nmc81,-7.69E-15,1.1E-16,nmc81,*,0,*,*,0,*,43556.8895,nmc81,295,5,nmc81,*,0,*,13,0,hfs+04,29,0,hfs+04,24,0,tml93,1.3,0.14,hfs+04,43556.89,*,*,*,21.56,21.56,ymw17
160,B1737+13,mlt+78,J1740+1311,mlt+78,17:40:07.3455,0.0012,hlk+04,+13:11:56.69,0.03,hlk+04,-22,2,bfg+03,-20,2,bfg+03,*,0,*,48262,hlk+04,265.03061,13.19908,0.803050264794,4E-12,hlk+04,1.45132E-15,1.2E-20,hlk+04,1.245252064335,5E-12,hlk+04,-2.250493E-15,1.8E-20,hlk+04,1.66E-26,4E-28,hlk+04,*,0,*,48262,hlk+04,48.66823,0.00043,bkk+16,*,0,*,32.7,0,lylg95,44.6,0,lylg95,24,2,lylg95,3.9,0.5,lylg95,56687,bkk+16,*,*,4.18,4.18,ymw17
161,B2303+30,lan69,J2305+3100,lan69,23:05:58.324,0.01,hlk+04,+31:00:01.76,0.15,hlk+04,2,2,bfg+03,-20,2,bfg+03,*,0,*,48714,hlk+04,346.49302,31.00049,1.575886338359,8E-12,hlk+04,2.8925E-15,5E-20,hlk+04,0.634563531429,3E-12,hlk+04,-1.164725E-15,1.9E-20,hlk+04,2.12E-27,2E-28,hlk+04,*,0,*,48714,hlk+04,49.5845,0.0012,bkk+16,*,0,*,17.4,0,lylg95,34.1,0,lylg95,24,2,lylg95,2.2,0.5,lylg95,56773,bkk+16,*,*,25,25,ymw17
162,J1800+50,slr+14,J1800+50,slr+14,18:01,2,slr+14,+50:28,18,slr+14,*,0,*,*,0,*,*,0,*,56292,*,270.25,50.46667,0.578364,1.5E-05,slr+14,*,0,*,1.72901,5E-05,slr+14,*,0,*,*,0,*,*,0,*,56292,*,23,2,slr+14,*,0,*,*,0,*,*,0,*,23.5,0,slr+14,*,0,*,56292,*,*,*,1.97,1.97,ymw17
163,B0743-53,mlt+78,J0745-5353,mlt+78,07:45:02.3,0.5,nmc81,-53:51:22,2,nmc81,*,0,*,*,0,*,*,0,*,43779.71,*,116.25958,-53.85611,0.2148363514,5E-10,nmc81,2.73E-15,3E-17,nmc81,4.654705749,1.1E-08,nmc81,-5.91E-14,7E-16,nmc81,*,0,*,*,0,*,43779.7121,nmc81,121.38,0.02,pkj+13,*,0,*,13,0,qmlg95,30,0,qmlg95,23,0,tml93,*,0,*,55000,pkj+13,*,*,25,25,ymw16
164,B1133-55,mlt+78,J1136-5525,mlt+78,11:36:02.17,0.08,smd93,-55:25:08.3,0.8,smd93,*,0,*,*,0,*,*,0,*,46800,*,174.00904,-55.41897,0.36470557624,2E-11,smd93,8.2151E-15,1.5E-18,smd93,2.74193778529,1.6E-10,smd93,-6.1763E-14,1.2E-17,smd93,*,0,*,*,0,*,46800,smd93,85.5,0.7,nmc81,*,0,*,15,0,qmlg95,27,0,qmlg95,23,0,tml93,4,0,wmlq93,46800,*,*,*,1.52,1.52,ymw17
165,B1159-58,mlt+78,J1202-5820,mlt+78,12:02:28.403,0.016,nmc81,-58:20:33.4,0.2,nmc81,*,0,*,*,0,*,*,0,*,43555.69,*,180.61835,-58.34261,0.452800508195,1.9E-11,nmc81,2.1265E-15,9E-19,nmc81,2.20847808671,1E-10,nmc81,-1.0372E-14,5E-18,nmc81,*,0,*,*,0,*,43555.6852,nmc81,145.41,0.19,hfs+04,*,0,*,10,0,hfs+04,16,0,hfs+04,23,0,tml93,2,0.2,hfs+04,43555.69,*,*,*,1.89,1.89,ymw17
